,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$195.00,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
193,,1 Lithium ion batteries required. (included),HP,,Intel Iris Xe Graphics,,DDR4 SDRAM,512 GB,Intel UHD Graphics,512 GB SSD,Solid State,15.7 x 10.1 x 0.78 inches,5.43 pounds,HP,1920 x 1080 Pixels,,,,Windows 10 S,,AC & Battery,4.2 GHz apple_ci5,Intel,4,15.7 x 10.1 x 0.78 inches,12 GB SDRAM,,17.3 Inches,"Bluetooth, 802.11ac",$799.99,4.3,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
194,8 Hours,1 Lithium Polymer batteries required. (included),Acer,Integrated,Intel,Silver,DDR4 SDRAM,128,Intel UHD Graphics,Flash Memory Solid State,USB 3.1,14.31 x 9.86 x 0.71 inches,4 pounds,A515-55-35SE,1920x1080 Pixels,3.4 GHz,1,3,Windows 10 S,No Optical Drive,Battery Powered,3.4 GHz core_i3,Intel,2,14.31 x 9.86 x 0.71 inches,4 GB DDR4,A515-55-35SE,15.6 Inches,Bluetooth,$399.00,4.6,,Windows,,,,,,,,,,,,,,,,,,,,,,,
195,5 Hours,1 Lithium Metal batteries required. (included),ASUS,Dedicated,AMD,Silver,DDR2 SDRAM,512,AMD Radeon Vega 8,512 GB ssd,,19 x 12.6 x 4 inches,3.7 pounds,X512DA-BTS2020RL,1920 x 1080 Pixels,,,,Windows 10,BD-ROM,Battery Powered,2.1 GHz amd_ryzen_5_1400,AMD,2,19 x 12.6 x 4 inches,8 GB DDR,X512DA-BTS2020RL,15.6 Inches,802.11ac,$544.00,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
196,,1 Lithium ion batteries required. (included),ASUS,Integrated,Intel,Pine Grey,DDR4 SDRAM,1,Intel Iris Xe Graphics,1 TB ssd,Solid State,12.01 x 8.31 x 0.55 inches,2.87 pounds,UX363EA-AS74T,1920 x 1080 Pixels,4267 MHz,,3,Windows 10 Pro,No Optical Drive,Battery Powered,4.7 GHz core_i7,Intel,4,12.01 x 8.31 x 0.55 inches,16 GB LPDDR4,ZenBook Flip 13,13.3 Inches,"Bluetooth, 802.11ax",,4.5,,PC,1920 x 1080 pixels,16 GB,19 Volts,,,,,,,,,,,,,,,,,,,,
197,,1 Lithium ion batteries required. (included),ASUS,Dedicated,NVIDIA,Eclipse Gray,DDR4 SDRAM,512,NVIDIA GeForce RTX 3050,SSD,,15.71 x 10.59 x 0.87 inches,5.73 pounds,TUF706HEB-DB74,1920 x 1080 Pixels,3200 MHz,,3,Windows 10 Home,No Optical Drive,,2.3 GHz apple_ci7,Intel,8,15.71 x 10.59 x 0.87 inches,16 GB DDR4,ASUS TUF Gaming F17,17.3 Inches,"Bluetooth, 802.11ax",,Pre,,PC,1920 x 1080 pixels,,20 Volts,,,,,,,,,,,,,,,,,,,,
198,,1 Lithium Polymer batteries required.,Oemgenuine,,Intel,Black,SODIMM,240 GB,Intel UHD,250 GB SSD,Unknown,12.95 x 8.9 x 0.66 inches,2.98 pounds,T490s,1920x1080,3.9 GHz,,,Windows 10 Pro,,AC & Battery,1.9 GHz core_i7,Intel,4,12.95 x 8.9 x 0.66 inches,8 GB DDR4,ThinkPad T490s,14 Inches,802.11ac,,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
199,13 Hours,,HP,,Intel,Scarlet Red,DDR4 SDRAM,512 GB,Intel UHD Graphics 605,512 GB SSD,Solid State,14.11 x 9.53 x 0.78 inches,3.93 pounds,Pavilion,1366 x 768 Pixels,2.7 GHz,,,Windows 10,,"Corded Electric, Battery Powered",2.7 GHz pentium,Intel,4,14.11 x 9.53 x 0.78 inches,16 GB DDR4,Pavilion,15.6 Inches,"Bluetooth, 802.11a",,4.2,,PC,,,,,,,,,,,,,,,,,,,,,,,
200,,,Dell,,Intel,Black,DDR4 SDRAM,256 GB,Intel UHD Graphics 600,256 GB SSD,Solid State,14.11 x 9.27 x 0.74 inches,3.64 pounds,Inspiron,1366 x 768 Pixels,2.8 GHz,,,Windows 10,,Battery Powered,2.8 GHz celeron,Intel,2,14.11 x 9.27 x 0.74 inches,16 GB DDR4,Inspiron,15.6 Inches,Bluetooth,$469.00,2.7,,PC,,,,,,,,,,,,,,,,,,,,,,,
201,,1 Lithium ion batteries required. (included),HP,,Intel,Natural Silver,DDR4 SDRAM,1 TB,Intel Iris Xe Graphics,1 TB SSD,PCIE x 4,14.11 x 9.53 x 0.71 inches,3.75 pounds,15t-dy200,1920 x 1080 Pixels,2.8 GHz,,3,Windows 10 Home,,AC & Battery,4.7 GHz core_i7_family,Intel,4,14.11 x 9.53 x 0.71 inches,32 GB SDRAM,15t-dy200,15.6 Inches,802.11ax,"$1,219.00",4.3,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
202,,1 Lithium ion batteries required. (included),Dell,NVIDIA GeForce RTX3060,NVIDIA,Grey,SODIMM,512,NVIDIA® GeForce RTX™ 3060 6GB GDDR6,512 GB SSD,Solid State,10.4 x 14.1 x 0.98 inches,5.39 pounds,G15-7900GRY-PUS,1920 x 1080 Pixels,2933 MHz,,3,Windows 10 Home,No Optical Drive,AC & Battery,2.2 GHz core_i7,Intel,8,10.4 x 14.1 x 0.98 inches,16 GB DDR4,Dell G15 5510,15.6 Inches,Bluetooth,"$1,689.98",4.5,,PC,1920x1080,6 GB,13.2 Volts (DC),,0.92 MP,,,,,,,,,,,,,,,,,,
203,10 Hours,1 Lithium ion batteries required. (included),Lenovo,,AMD,Graphite Grey,DDR4 SDRAM,512 GB,AMD Radeon Series,512 GB ssd,Solid State,12.66 x 8.56 x 0.82 inches,3.63 pounds,LENOVO,1920 x 1080 Pixels,2.3 GHz,,,Windows 10,,AC & Battery,2.3 GHz amd_r_series,AMD,6,12.66 x 8.56 x 0.82 inches,16 GB SDRAM,Flex 5,14 Inches,802.11ac,$763.00,4.4,,PC,1920 x 1080,,,,1.2 MP,,,,,,,,,,,,,,,,,,
204,,1 Lithium Polymer batteries required.,HP,,Intel,Silver,DDR SDRAM,256 GB,Intel UHD Graphics,256 GB SSD,USB,14.11 x 9.53 x 0.71 inches,3.75 pounds,15-DY1031WM,1366 x 768 Pixels,3.4 GHz,,,Windows 10,,Corded Electric,3.4 GHz core_i3,Intel,2,14.11 x 9.53 x 0.71 inches,8 GB DDR4,HP 15 Laptop,15.6 Inches,Bluetooth,$453.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
205,,,Dell,,Intel,,DDR4 SDRAM,256 GB,Intel UHD Graphics 600,256 GB SSD,Solid State,14.33 x 9.8 x 0.78 inches,3.91 pounds,Inspiron,1366 x 768 Pixels,2.8 GHz,,,Windows 10 Home,,Battery Powered,2.8 GHz celeron,Intel,2,14.33 x 9.8 x 0.78 inches,8 GB DDR4,Inspiron,15.6 Inches,Bluetooth,$499.00,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
206,22 Hours,2 Lithium ion batteries required. (included),LG,Integrated,Intel,Black,DDR4 SDRAM,16,,1 TB SSD,Solid State,14.01 x 9.58 x 0.66 inches,2.62 pounds,16Z90P-K.AAB8U1,2560 x 1600 Pixels,4266 MHz,,1,Windows 10 Home,No Optical Drive,Battery Powered,4.7 GHz apple_ci7,Intel,4,14.01 x 9.58 x 0.66 inches,1 TB LPDDR4,16Z90P-K.AAB8U1,16 Inches,802.11ax,,4.6,,PC,2560 x 1600 pixels,,,,,,,,,,,,,,,,,,,,,,
207,,1 Lithium ion batteries required. (included),ASUS,Integrated,AMD,,DDR4 SDRAM,512,AMD Radeon™ Graphics,512 GB SSD,USB 3.2,12.76 x 8.66 x 0.72 inches,3.31 pounds,TM420UA-DS71T,1920X1200 Pixels,,1,1,Windows 10 Home,No Optical Drive,,2 GHz ryzen_7,AMD,1,12.76 x 8.66 x 0.72 inches,8 GB DDR4,TM420UA-DS71T,14 Inches,802.11ac,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
208,,1 Lithium ion batteries required.,Dell,,Intel,,DDR4 SDRAM,512 GB,Intel UHD Graphics,512 GB PCIe SSD,PCIE x 4,14.96 x 10.16 x 0.89 inches,4.41 pounds,15 3000,1920x1080,2666 MHz,,,Windows 10,,Battery Powered,1 GHz core_i5,Intel,4,14.96 x 10.16 x 0.89 inches,12 GB DDR4,Inspiron,15.6 Inches,802.11ac,$657.00,4.0,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
209,2 	years,1 Lithium ion batteries required. (included),Dell,,Intel,Black,DDR4 SDRAM,256 GB,Intel UHD Graphics,256 GB SSD,PCIE x 4,14.23 x 9.76 x 0.71 inches,3.95 pounds,Latitude,1366 x 768 Pixels,,,,Windows 10,,Battery Powered,1.6 GHz core_i5,Intel,4,14.23 x 9.76 x 0.71 inches,8 GB DDR4,Dell Latitude,15.6 Inches,Bluetooth,$849.00,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
210,5 Hours,1 Lithium ion batteries required. (included),ASUS,,AMD,Silver,DDR4 SDRAM,256 GB,AMD Radeon Graphics,256 GB SSD,Serial ATA,16 x 10 x 0.8 inches,5.07 pounds,ASUS,1920 x 1080 Pixels,3.5 GHz,,,Windows 10,,AC & Battery,3.5 GHz amd_r_series,AMD,2,16 x 10 x 0.8 inches,8 GB SDRAM,Vivobook 17,17.3 Inches,802.11ac,$662.39,4.4,,PC,1920×1080,,,,1.2 MP,,,,,,,,,,,,,,,,,,
211,,,Dell,,Intel,,DDR4 SDRAM,,Intel® Iris® Xe Graphics,512 GB SSD,Solid State,,3.67 pounds,Vostro 15 5000 5510,1920 x 1080 Pixels,,,,Windows 10 Pro,,"Corded Electric, Battery Powered",4.8 GHz apple_ci7,Intel,4,,16 GB DDR4,Vostro 15 5000 5510,15.6 Inches,Bluetooth,"$1,249.99",5.0,,PC,,,,,,20 x 13 x 6 inches,,,,,,,,,,,,,,,,,
212,,,Huashe,,Intel,,DDR4 SDRAM,,Mali_30,128 GB SSD,IDE,,5.04 pounds,NK15A,1920 x 1080 Pixels,2.5 GHz,1,1,Windows 10,,Battery Powered,1.5 GHz celeron_j3455,Intel,4,,8 GB DDR4,,15.6 Inches,802.11abg,,3.8,,PC,,,,,,17.56 x 11.42 x 2.44 inches,,,,,,,,,,,,,,,,,
213,9 Hours,1 Lithium ion batteries required. (included),Razer,Integrated,Intel,,DDR4 SDRAM,256,Intel Iris Xe,SSD,Thunderbolt,11.6 x 0.6 x 7.8 inches,3.09 pounds,RZ09-03571EM1-R3U1,1920 x 1200 Pixels,,,1,Windows 10,No Optical Drive,Battery Powered,4.7 GHz core_i7,Intel,4,11.6 x 0.6 x 7.8 inches,16 GB DDR4,Razer Book 13,13.4 Inches,802.11a/b/g/n/ac,,4.2,,PC,,,,,,,,,,,,,,,,,,,,,,,
214,9 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Snowflake white,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,3.2 pounds,HP 14 LAPTOP,1366 x 768 Pixels,2400 MHz,,,Windows 10 S,,AC & Battery,1.1 GHz celeron_n4000,Intel,2,12.76 x 8.86 x 0.71 inches,4 GB DDR4,Dell Precision,14 Inches,802.11ac,$319.00,4.4,,PC,1360x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
215,9 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Snowflake white,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,3.2 pounds,HP 14 LAPTOP,1366 x 768 Pixels,2400 MHz,,,Windows 10 S,,AC & Battery,1.1 GHz celeron_n4000,Intel,2,12.76 x 8.86 x 0.71 inches,4 GB DDR4,Dell Precision,14 Inches,802.11ac,$319.00,4.4,,PC,1360x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
216,"7.0, 10.0, 16.0 Hours",1 Lithium ion batteries required. (included),Dell,,Intel,,DDR3 SDRAM,256,Intel UHD Graphics,256 GB SSD,Solid State,11.7 x 8.2 x 0.5 inches,2.7 pounds,R8-CFVU-AFAU,3840 x 2400 Pixels,2133 MHz,,,Windows 10 Home,,Battery Powered,1 GHz core_i5_1035g1,Intel,4,11.7 x 8.2 x 0.5 inches,8 GB LPDDR3,,13.3 Inches,Bluetooth,$847.00,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
217,,1 Lithium ion batteries required. (included),Razer,Dedicated,NVIDIA,Classic Black,DDR4 SDRAM,16,NVIDIA GeForce GTX 1650 Ti Max-Q,Flash Memory Solid State,,11.9 x 8.27 x 0.6 inches,6.14 pounds,RZ09-03272E12-R3U1,1920 x 1080 Pixels,,,2,Windows 10,No Optical Drive,Battery Powered,3.9 GHz core_i7,Intel,4,11.9 x 8.27 x 0.6 inches,16 GB DDR4,Blade Stealth,13.3,802.11a/b/g/n/ac,,4.4,,,,4 GB,,,,,,,,,,,,,,,,,,,,,
218,,1 Lithium ion batteries required.,HP,Integrated,Intel,Gold,DDR SDRAM,256 GB,Intel UHD Graphics,256 GB ssd,Solid State,12.8 x 8.7 x 0.7 inches,3.55 pounds,DW0023DX,1920x1080 Pixels,3.6 GHz,,,Windows 10,,,1 GHz core_i5_family,Intel,4,12.8 x 8.7 x 0.7 inches,8 GB DDR4,14M-DW0023DX,14 Inches,802.11ac,$648.49,4.6,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
219,,,Dell,,Intel,Natural Silver,DDR4 SDRAM,512 GB,Intel Iris Xe Graphics,512 GB SSD,Serial ATA,9.23 x 14.02 x 0.7 inches,3.78 pounds,Dell 15 5502,1920 x 1080 Pixels,3200 MHz,,,Windows 10,,Battery Powered,4.2 GHz core_i5,Intel,4,9.23 x 14.02 x 0.7 inches,16 GB DDR4,Dell Inspiron,15.6 Inches,Bluetooth,$819.99,3.9,,PC,,,,,,,,,,,,,,,,,,,,,,,
220,,1 Lithium ion batteries required. (included),Dell,,Intel,Black,DDR4 SDRAM,2 TB,Intel UHD Graphics,2 TB HDD 5400 rpm,Serial ATA,14.33 x 9.8 x 0.78 inches,3.91 pounds,i3000,1366 x 768 Pixels,2.8 GHz,,,Windows 10,,Battery Powered,1.1 GHz celeron,Intel,2,14.33 x 9.8 x 0.78 inches,16 GB DDR4,Dell Inspiron,15.6 Inches,Bluetooth,$529.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
221,7.5 Hours,1 Lithium ion batteries required.,Lenovo,Integrated,AMD,Blue,DDR4 SDRAM,256,Intel UHD,256 GB SSD,Solid State,14.1 x 7.95 x 0.7 inches,4.4 pounds,81WE008HUS,1366x768 Pixels,3.5 GHz,,2,Windows 10,No Optical Drive,Battery Powered,1.2 GHz core_i3,Intel,2,14.1 x 7.95 x 0.7 inches,8 GB SDRAM,81WE008HUS,15.6 Inches,802.11ac,$455.00,4.5,,PC,1024×768,8 GB,120 Volts,81WE008HUS,,,,,,,,,,,,,,,,,,,
222,,1 Lithium Polymer batteries required. (included),MSI,Dedicated,Intel,Core Black,DDR4 SDRAM,16,NVIDIA RTX 2070,SSD,USB-C,0.71 x 14.17 x 9.65 inches,4.63 pounds,GS66 Stealth 10SF-683,1920 x 1080 Pixels,2666 MHz,,3,Windows 10,No Optical Drive,Battery Powered,2.6 GHz core_i7,Intel,6,0.71 x 14.17 x 9.65 inches,,GS66 Stealth 10SF-683,15.6 Inches,Bluetooth,"$1,599.00",4.6,,PC,1920 x 1080 pixels,8 GB,,,,,,,,,,,,,,,,,,,,,
223,,1 Lithium ion batteries required. (included),ASUS,Integrated,Intel,Blue,DDR4 SDRAM,512,Intel Iris Xe Graphics,512 GB SSD,Solid State,12.76 x 8.74 x 0.68 inches,3.46 pounds,UX482EA-DS71T,1920 x 1080 Pixels,,,1,Windows 10 Home,No Optical Drive,Battery Powered,4.7 GHz core_i7,Intel,4,12.76 x 8.74 x 0.68 inches,8 GB DDR4,ZenBook Duo,14 Inches,"Bluetooth, 802.11ax",,4.3,,PC,1920 x 1080 pixels,8 GB,19 Volts,UX482EA-DS71T,,,,,,,,,,,,,,,,,,,
224,2 Hours,1 Lithium Polymer batteries required. (included),N&N,Integrated,Intel,Sliver,DDR3 SDRAM,16 GB,400,16 GB SSD,ESATA,,2.42 pounds,303,1366*768 Pixels,,,,Chrome OS,,,1.3 GHz Exynos_5250,Intel,2,,2 GB,303c,11.6 Inches,Bluetooth,,3.7,,PC,,,,,,14.25 x 10.75 x 2.52 inches,,,,,,,,,,,,,,,,,
225,5 Hours,1 Lithium ion batteries required. (included),Dell,Integrated,,,DDR4 SDRAM,256 GB,AMD Radeon,256 GB SSD,Serial ATA,12.7 x 8.74 x 0.71 inches,3.75 pounds,DELL,1920x1080 Pixels,,,,Windows 10,,Battery Powered,2.3 GHz amd_r_series,AMD,6,12.7 x 8.74 x 0.71 inches,8 GB SDRAM,Dell Inspiron,14 Inches,Bluetooth,$599.99,4.0,,PC,1920x1080,,,,2 MP,,,,,,,,,,,,,,,,,,
226,7 Hours,1 Lithium ion batteries required. (included),HP,Integrated,AMD,Natural Silver,DDR4 SDRAM,256,AMD Radeon,SSHD,,14.11 x 9.53 x 0.78 inches,4.84 pounds,15-ef1021nr,1366 x 768 Pixels,,,,Windows 10 Home,No Optical Drive,Battery Powered,2.6 GHz ryzen_3_3250u,AMD,2,14.11 x 9.53 x 0.78 inches,8 GB DDR4,HP Laptop 15-ef1021nr,15.6 Inches,"Bluetooth, 802.11ax",$444.99,4.6,5400 RPM,PC,1366 x 768 pixels,,,,,,,,,,,,,,,,,,,,,,
227,7 Hours,1 Lithium ion batteries required. (included),Dell,Integrated,Intel,Silver,DDR4 SDRAM,512,Intel UHD Graphics,512 GB SSD,Serial ATA,9.23 x 14.02 x 0.7 inches,3.78 pounds,DELL,1920 x 1080,3200 MHz,,3,Windows 10 Home,No Optical Drive,AC & Battery,4.2 GHz core_i5,Intel,4,9.23 x 14.02 x 0.7 inches,8 GB DDR4,Inspiron 15 5502,15.6 Inches,Bluetooth,$708.00,4.5,,PC,1920 x 1080,8 GB,,,1.2 MP,,,,,,,,,,,,,,,,,,
228,,1 Lithium ion batteries required. (included),Dell,,Intel,Black,DDR4 SDRAM,1 TB,Intel Iris Xe Graphics,1 TB SSD,PCIE x 4,14.33 x 9.8 x 0.78 inches,3.93 pounds,i3000,1920 x 1080 Pixels,,,,Windows 10,,Battery Powered,2.4 GHz core_i5,Intel,4,14.33 x 9.8 x 0.78 inches,16 GB DDR4,Dell Inspiron,15.6 Inches,Bluetooth,$819.00,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
229,,1 Lithium Polymer batteries required. (included),ASUS,Integrated,Intel,,DDR4 SDRAM,128,Intel UHD Graphics 620,128 GB Flash Memory Solid State,Serial ATA,14.1 x 9.1 x 0.75 inches,3.8 pounds,F512FA-AB34,1920 x 1080 Pixels,3.9 GHz,2,2,Windows 10 Home,No Optical Drive,,3.9 GHz core_i3_family,Intel,2,14.1 x 9.1 x 0.75 inches,8 GB DDR4,Asus VivoBook 15 F512FA,15.6 Inches,802.11b/n/ac,$454.00,4.4,,PC,,8 GB,,,,,,,,,,,,,,,,,,,,,
230,11 Hours,1 Lithium ion batteries required. (included),HP,,Intel,Rose Pink,DDR4 SDRAM,64 GB,Intel uhd,64 GB SSD,Solid State,13.27 x 8.9 x 0.7 inches,3.17 pounds,14-stream-rose gold,1366 x 768 Pixels,2.6 GHz,1,2,Windows 10 S,No Optical Drive,AC & Battery,1.1 GHz celeron_n4000,Intel,2,13.27 x 8.9 x 0.7 inches,4 GB DDR4,14-stream,14 Inches,802.11a/b/g/n/ac,$409.00,4.6,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
231,7 Hours,1 Lithium ion batteries required.,HP,Integrated,Intel,,DDR4 SDRAM,128 GB,INTEL,128 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,3.24 pounds,HP,1920 x 1080 Pixels,,,,Windows 10 S,No Optical Drive,AC & Battery,3.3 GHz pentium,Intel,4,12.76 x 8.86 x 0.71 inches,8 GB SDRAM,,14 Inches,"Bluetooth, 802.11a/b/g/n/ac",,5.0,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
232,,1 Lithium ion batteries required. (included),Lenovo,Integrated,Intel,Black,DDR4 SDRAM,1 TB,Intel UHD Graphics 620,1 TB SSD,Solid State,14.48 x 9.64 x 0.74 inches,4.3 pounds,ThinkPad E15,1920x1080 Pixels,1.8 GHz,1,,Windows 10 Pro,,AC & Battery,1.6 GHz core_i5,Intel,4,14.48 x 9.64 x 0.74 inches,32 GB SO-DIMM DDR4,ThinkPad E15 Business Laptop,15.6 Inches,802.11ac,"$1,269.99",4.5,,PC,1920x1080,,,,1.2 MP,,,,,,,,,,,,,,,,,,
233,,1 Lithium ion batteries required. (included),ASUS,Integrated,Intel,Pine Grey,DDR4 SDRAM,512,Intel Iris Xe Graphics,Flash Memory Solid State,USB-C,11.9 x 7.4 x 0.7 inches,2.8 pounds,UX363EA-DH51T,1920 x 1080 Pixels,4266 MHz,,3,Windows 10 Home,No Optical Drive,,4.2 GHz apple_ci5,Intel,4,11.9 x 7.4 x 0.7 inches,8 GB LPDDR4,UX363EA-DH51T,13.3 Inches,"Bluetooth, 802.11ax",,4.2,,PC,1920 x 1080 pixels,8 GB,19 Volts,UX363EA-DH51T,,,,,,,,,,,,,,,,,,,
234,14 Hours,1 Lithium ion batteries required.,Dell,Dedicated,Allwinner,,,16,,Embedded MultiMediaCard,USB,,1.2 pounds,3100,1366 x 768,2.8 GHz,,,Chrome OS,BD-R,Battery Powered,celeron,Intel,1,,4 GB DDR,"2019 New Dell Inspiron 11 Chromebook , 11.6"" HD Non-Touchscreen Display, In",11.6 Inches,Bluetooth,$200.00,4.4,,Chrome,1366 x 768,,,,,16.81 x 11.02 x 2.91 inches,,,,,,,,,,,,,,,,,
235,"9.0, 11.0 Hours",1 Lithium ion batteries required. (included),HP,Integrated,Intel,,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,3.24 pounds,Dq0002,1366 x 768 Pixels,2.8 GHz,,3,Windows 10 S,No Optical Drive,AC & Battery,1.1 GHz celeron_n4020,Intel,2,12.76 x 8.86 x 0.71 inches,4 GB DDR4,Stream-14-white,14 Inches,802.11ac,,4.5,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
236,8 Hours,1 Lithium Polymer batteries required. (included),ALLDOCUBE,Integrated,Intel,Gray,DDR3 SDRAM,128 GB,Intel UHD Graphics 600,128 GB EMMC,Solid State,9.8 x 6.6 x 0.36 inches,1.32 pounds,Iwork20,1920*1200,2.8 GHz,,2,Windows 10,,Battery Powered,1.1 GHz celeron_n,Intel,2,9.8 x 6.6 x 0.36 inches,4 GB LPDDR4,IWork20,10.1 Inches,"802.11bgn, 802.11a",,4.7,,PC,1920x1200,,,,2 MP,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,549.00",4.6,,,,,,,,,,,,,,,,,,,,,,,,,
238,19.5 Hours,2 Lithium ion batteries required. (included),LG,Integrated,Intel,Black,DDR4 SDRAM,8,,512 GB SSD,Solid State,14.1 x 8.8 x 0.7 inches,2.47 pounds,15Z90P-K.ARB6U1,1920 x 1080 Pixels,4266 MHz,,1,Windows 10 Home,No Optical Drive,Battery Powered,4.2 GHz apple_ci5,Intel,4,14.1 x 8.8 x 0.7 inches,9 GB LPDDR4,15Z90P-K.ARB6U1,15.6 Inches,802.11ax,,5.0,,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
239,13 Hours,1 Lithium Polymer batteries required. (included),Lenovo,,Intel,Mica,DDR4 SDRAM,256 GB,Intel UHD Graphics,256 GB ssd,Serial ATA,12.7 x 8.4 x 0.7 inches,7 ounces,LENOVO,1920 x 1080,,,,Windows 10,,AC & Battery,1.6 GHz core_i5,Intel,4,12.7 x 8.4 x 0.7 inches,8 GB SDRAM,Yoga C740 2-in-1,14 Inches,802.11ac,$643.82,4.5,,PC,1920 x 1080,,,,1.2 MP,,,,,,,,,,,,,,,,,,
240,,1 Lithium ion batteries required. (included),Dell,,Intel,Silver,DDR4 SDRAM,1 TB,Intel Iris Xe Graphics,1 TB ssd,PCIE x 4,14.95 x 10.49 x 0.76 inches,5.36 pounds,7706,2560 x 1600 Pixels,,,,Windows 10,,Battery Powered,2.4 GHz core_i5,Intel,4,14.95 x 10.49 x 0.76 inches,16 GB DDR4,Dell Inspiron,17 Inches,Bluetooth,"$1,359.00",4.2,,PC,,,,,,,,,,,,,,,,,,,,,,,
241,,,Dell,,Intel,Black,DDR4 SDRAM,,Intel UHD Graphics 605,128 GB SSD,Solid State,14.11 x 9.27 x 0.74 inches,4.07 pounds,Inspiron 15,1366 x 768 Pixels,3.1 GHz,,,Windows 10,No Optical Drive,AC & Battery,1.1 GHz pentium_N5000,Intel,4,14.11 x 9.27 x 0.74 inches,16 GB DDR4,,15.6 Inches,802.11ac,,4.4,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
242,9 Hours,1 Product Specific batteries required. (included),CHUWI,,Intel,Gray,DDR4 SDRAM,256 GB,Intel UHD Graphics 600,256 GB HDD 5400 rpm,ATA-4,13.07 x 8.43 x 0.84 inches,3.06 pounds,Herobook Pro,1920 x 1080 Pixels,2.6 GHz,1,1,Windows 10,,Battery Powered,2.6 hertz intel_core_2_quad,Intel,4,13.07 x 8.43 x 0.84 inches,8 GB LPDDR4,HeroBook Pro,14.1 Inches,"Bluetooth, 802.11bgn, 802.11ac",,3.9,6000.00,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
243,,1 Lithium ion batteries required.,MSI,,NVIDIA,,DDR4 SDRAM,,GeForce RTX 3060,1 TB SSD,Solid State,15.63 x 10.57 x 1.08 inches,11.33 pounds,MSI GE76,1920 x 1080 Pixels,3200 MHz,,,Windows 10 Home,,,4.6 GHz apple_ci7,Intel,8,15.63 x 10.57 x 1.08 inches,,,17.3 Inches,,,4.7,,PC,,,,,,,,,,,,,,,,,,,,,,,
244,,1 Lithium ion batteries required. (included),Lenovo,Dedicated,NVIDIA,,DDR4 SDRAM,256 GB,NVIDIA GeForce GTX 1650,256 GB SSD,Solid State,14.16 x 9.92 x 0.95 inches,6.93 pounds,81LK01MSUS,1920 x 1080 Pixels,,,,Windows 10,,,2.3 GHz core_i5_family,Intel,2,14.16 x 9.92 x 0.95 inches,8 GB,Lenovo Ideapad,15.6 Inches,"Bluetooth, 802.11ac",$727.00,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
